synthetic_group,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean
low,0.01919179944288453,0.11587224259617288,0.06517075461363077,0.6572391221924572,0.0,0.22588171135832713,0.0,0.09794460629668186,0.21460181265332728,0.008763639474570968,0.09045451388204977
low,0.10559255361599282,0.13069097594677648,0.09931016778123423,0.6415674768546193,0.01736162022625969,0.18260046049886638,0.09808541030349448,0.06999590366188413,0.23127229043618797,0.0,0.0844101025875337
low,0.04284731310205109,0.12088052649626166,0.13574055070971278,0.6643634698406609,0.052821304849279355,0.22615277708605,0.029213634492097264,0.08314601659338894,0.18889504134144847,0.0040730124397321136,0.10261102562600699
low,0.090527759074398,0.13846230306500976,0.07754729595590856,0.7075157497368079,0.03826557667493337,0.16926757211413154,0.0,0.10695552306720872,0.2080809486083262,0.03247215510389645,0.029348141435231137
mid,0.3629009903666725,0.11616175416094798,0.13281588268618452,0.7649760153938577,0.09466634459957449,0.4487323422512651,0.1639300463106262,0.1722743371540537,0.47691139803545074,0.017205102355931177,0.15534857503666805
mid,0.3436000655744853,0.1542847546585694,0.09892519274776979,0.8118795105586796,0.05579738899060918,0.4850156674073319,0.09090941291973602,0.1706253507670321,0.4982019836436936,0.0,0.08487856326233552
mid,0.3752769940298493,0.15655438154480927,0.16563451025346787,0.8266507191357981,0.0366699784182596,0.46868976126583617,0.10387636400203658,0.15572952137726484,0.49720830700373714,0.0,0.13732518579174605
mid,0.37748136709104835,0.18249753698088372,0.17641554184947947,0.8948123117248481,0.07399764189805183,0.5012073121540352,0.04669974943148271,0.18425333589649764,0.4855751956146004,0.05584425456469406,0.08882116577415256
high,0.5740437703244718,0.38481816942099556,0.22930296491022117,0.9273683755821152,0.07650651756186119,0.7781151228006444,0.14663091029193598,0.22450119649435823,0.7648208782518813,0.0,0.10634296966316516
high,0.4909515306487895,0.3154894466487625,0.3039550111679019,0.9072597073331574,0.1316072634386985,0.7807378819014984,0.18795906240471488,0.2974466213050538,0.7639003463876343,0.05719271991129496,0.1122383197463825
high,0.5772468727122876,0.29319660150404375,0.22073797785959426,0.9388579163897881,0.13804210505963507,0.7878174433444362,0.142732927603091,0.2701744126516997,0.7997768006239322,0.0026715320769422984,0.09466814300844179
high,0.5932109259634516,0.40134781347050746,0.26335840254983905,0.9543016291349928,0.1932198346529162,0.742536681133421,0.2028625715482222,0.31887229567330544,0.7381633691411206,0.0,0.08920015005947363
